"Countries, territories and areas",Beverage Types,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Sweden,Spirits,1.13,1.11,1.09,1.1,1.09,1.11,1.27,1.39,1.4,1.3
Sweden,Other alcoholic beverages,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.09,0.0
Switzerland,All types,10.15,10.29,10.44,10.24,10.15,10.54,10.82,10.85,11.12,11.26
Switzerland,Beer,3.3,3.31,3.32,3.21,3.11,3.24,3.37,3.25,3.38,3.39
Switzerland,Wine,4.84,4.97,5.1,5.0,5.14,5.27,5.41,5.54,5.68,5.81
Switzerland,Spirits,1.89,1.89,1.9,1.91,1.79,1.92,1.92,1.93,1.93,1.94
Switzerland,Other alcoholic beverages,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Ukraine,All types,8.97,9.41,8.12,7.42,6.82,6.51,6.81,7.13,7.31,6.95
Ukraine,Beer,3.34,3.6,3.58,3.03,2.69,2.18,1.95,1.74,1.52,1.28
Ukraine,Wine,0.49,0.48,0.45,0.42,0.39,0.52,0.53,0.54,0.38,0.36
Ukraine,Spirits,5.06,5.24,4.02,3.91,3.7,3.81,4.33,4.85,5.41,5.3
Ukraine,Other alcoholic beverages,0.08,0.09,0.08,0.06,0.05,0.0,0.0,0.0,0.0,0.0
