"Countries, territories and areas",Beverage Types,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Slovakia,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,All types,12.28,14.61,11.44,12.6,13.94,14.8,15.66,15.7,13.18,13.79,12.96,14.96,16.64,18.13,15.07,17.23,17.28,19.5,16.94,
Slovenia,Beer,5.04,4.59,5.0,5.36,5.53,5.52,5.31,4.86,3.07,3.34,2.72,3.31,3.54,3.71,3.3,3.42,3.54,4.02,4.11,
Slovenia,Wine,5.13,7.52,5.29,5.34,6.09,6.14,7.57,7.86,7.79,8.03,7.56,8.39,9.9,10.78,8.63,10.12,10.04,11.46,8.91,
Slovenia,Spirits,1.76,2.15,0.8,1.32,1.76,2.56,2.5,2.53,2.31,2.42,2.69,3.27,3.2,3.64,3.15,3.69,3.7,4.01,3.91,
Slovenia,Other alcoholic beverages,0.34,0.35,0.35,0.58,0.56,0.58,0.28,0.45,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Spain,All types,11.33,11.58,11.69,10.86,11.09,11.36,11.67,12.19,12.88,12.98,13.28,13.52,14.41,14.37,14.47,14.49,16.18,16.23,16.84,17.69
Spain,Beer,4.06,3.94,3.95,3.93,3.99,3.99,4.0,4.32,4.39,4.46,4.45,4.34,4.26,3.99,3.97,3.87,3.88,3.81,3.73,3.64
Spain,Wine,4.39,4.62,4.57,3.97,4.03,4.27,4.56,4.49,5.07,5.1,5.33,5.64,6.45,6.65,6.86,6.94,8.32,8.4,8.78,9.69
Spain,Spirits,2.82,2.95,3.08,2.86,2.99,3.02,3.04,3.31,3.34,3.35,3.5,3.54,3.7,3.73,3.64,3.68,3.98,4.02,4.33,4.36
Spain,Other alcoholic beverages,0.06,0.07,0.09,0.1,0.08,0.08,0.07,0.07,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,All types,6.88,6.8,7.11,6.9,7.33,7.71,7.51,7.5,7.47,7.41,7.47,7.31,7.07,7.21,6.9,6.82,6.96,7.29,7.14,7.65
Sweden,Beer,3.65,3.53,3.8,3.65,3.98,4.15,3.93,3.83,3.74,3.66,3.55,3.39,3.13,3.04,2.85,2.72,2.75,2.87,2.78,2.94
Sweden,Wine,2.0,1.98,1.97,1.81,1.71,1.78,1.72,1.7,1.66,1.65,1.67,1.63,1.57,1.6,1.55,1.55,1.45,1.41,1.32,1.3
Sweden,Spirits,1.23,1.29,1.34,1.44,1.64,1.78,1.86,1.97,2.07,2.1,2.25,2.29,2.37,2.57,2.5,2.55,2.76,3.01,3.04,3.41
Sweden,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,All types,11.05,11.07,11.21,11.33,11.45,11.79,12.33,12.33,12.9,12.99,13.86,14.03,14.02,14.07,14.37,14.33,14.41,14.71,14.58,14.25
Switzerland,Beer,3.4,3.53,3.41,3.53,3.65,3.77,3.99,3.99,4.1,4.09,4.17,4.13,4.17,4.19,4.19,4.17,4.3,4.42,4.34,4.3
Switzerland,Wine,5.83,5.72,5.85,5.85,5.85,5.96,6.16,6.16,6.39,6.5,7.14,7.2,7.16,7.04,7.21,7.29,7.09,7.28,7.32,7.11
Switzerland,Spirits,1.7,1.7,1.83,1.83,1.83,1.95,1.93,1.93,2.17,2.17,2.28,2.41,2.41,2.54,2.67,2.56,2.69,2.71,2.6,2.54
Switzerland,Other alcoholic beverages,0.12,0.12,0.12,0.12,0.12,0.12,0.24,0.24,0.24,0.24,0.26,0.29,0.28,0.3,0.3,0.31,0.33,0.31,0.32,0.31
Ukraine,All types,3.93,3.74,3.98,3.26,3.72,4.21,5.47,5.54,5.86,5.67,5.32,4.43,4.01,4.39,6.62,7.08,6.99,6.96,7.48,7.67
Ukraine,Beer,1.04,0.85,0.78,0.76,0.85,1.12,1.13,1.36,1.61,1.7,1.65,1.58,1.45,1.34,1.75,1.83,1.8,1.81,1.72,1.67
Ukraine,Wine,0.37,0.42,0.38,0.35,0.3,0.13,0.45,0.57,0.83,0.81,0.99,0.94,0.9,1.01,1.81,2.19,2.26,2.35,2.45,2.44
Ukraine,Spirits,2.51,2.46,2.81,2.1,2.54,2.96,3.9,3.61,3.41,3.16,2.68,1.91,1.66,2.04,3.06,3.06,2.93,2.8,3.31,3.56
Ukraine,Other alcoholic beverages,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
