Country Name,Year,Life Expectancy
Austria,1974,71.0121951219512
Belgium,1974,71.9858536585366
Bulgaria,1974,71.2080487804878
Bosnia and Herzegovina,1974,68.862
Belarus,1974,70.8546829268293
Switzerland,1974,74.2870731707317
Czechia,1974,70.0865853658537
Germany,1974,71.4189268292683
Denmark,1974,73.8082926829268
Spain,1974,72.969756097561
Estonia,1974,70.0786097560976
Finland,1974,71.1348780487805
France,1974,72.6048780487805
United Kingdom,1974,72.5243902439024
Greece,1974,73.4155853658537
Croatia,1974,70.1436585365854
Hungary,1974,69.2480487804878
Ireland,1974,71.1755609756098
Iceland,1974,74.5117073170732
Israel,1974,71.6617073170732
Italy,1974,72.7343902439025
Lithuania,1974,71.2441463414634
Luxembourg,1974,70.1571707317073
Latvia,1974,69.7409756097561
Moldova,1974,64.211
North Macedonia,1974,66.592
Montenegro,1974,71.220756097561
Netherlands,1974,74.5368292682927
Norway,1974,74.7536585365854
Poland,1974,71.1170731707317
Portugal,1974,68.019512195122
Romania,1974,69.499756097561
Slovenia,1974,70.1609756097561
Sweden,1974,74.9804878048781
Ukraine,1974,68.9340243902439
Albania,1975,68.328
Andorra,1975,
Austria,1975,71.1146341463415
Belgium,1975,71.9712195121951
Bulgaria,1975,71.049756097561
Bosnia and Herzegovina,1975,69.405
Belarus,1975,70.4570975609756
Switzerland,1975,74.6656097560976
Czechia,1975,70.4146341463415
Germany,1975,71.259243902439
Denmark,1975,74.0751219512195
Spain,1975,73.3187804878049
Estonia,1975,69.3543658536585
Finland,1975,71.6736585365854
France,1975,72.8536585365854
United Kingdom,1975,72.7243902439024
Greece,1975,73.3763658536586
Croatia,1975,70.0019512195122
Hungary,1975,69.29
Ireland,1975,71.7530487804878
Iceland,1975,75.5787804878049
Israel,1975,72.0451219512195
Italy,1975,72.6473170731708
Lithuania,1975,70.8673170731707
Luxembourg,1975,70.2986097560976
Latvia,1975,68.9253658536585
Moldova,1975,64.348
North Macedonia,1975,66.9877804878049
Montenegro,1975,71.174243902439
Netherlands,1975,74.4987804878049
Norway,1975,74.8175609756098
Poland,1975,70.5609756097561
Portugal,1975,68.309756097561
Romania,1975,69.6139024390244
Slovenia,1975,70.3585365853659
Sweden,1975,74.9846341463415
Ukraine,1975,69.0463170731707
Albania,1976,68.704
Andorra,1976,
Austria,1976,71.5658536585366
Belgium,1976,72.119756097561
Bulgaria,1976,71.3948780487805
Bosnia and Herzegovina,1976,69.648
Belarus,1976,70.3968292682927
Switzerland,1976,74.7853658536585
Czechia,1976,70.5326829268293
Germany,1976,71.7122195121951
Denmark,1976,73.739756097561
Spain,1976,73.6426829268293
Estonia,1976,68.9256829268293
Finland,1976,71.8129268292683
France,1976,73.1024390243903
United Kingdom,1976,72.7756097560976
Greece,1976,73.634
Croatia,1976,70.4553658536585
Hungary,1976,69.5731707317073
Ireland,1976,71.8566097560976
Iceland,1976,76.9721951219512
Israel,1976,72.9560975609756
Italy,1976,72.9919512195122
Lithuania,1976,70.9580487804878
Luxembourg,1976,69.9751463414634
Latvia,1976,69.0478048780488
Moldova,1976,64.496
North Macedonia,1976,67.7455609756098
Montenegro,1976,71.5699512195122
Netherlands,1976,74.6470731707317
Norway,1976,75.039512195122
Poland,1976,70.6560975609756
Portugal,1976,68.8609756097561
Romania,1976,69.6987804878049
Slovenia,1976,70.3073170731707
Sweden,1976,74.9692682926829
Ukraine,1976,69.0428536585366
Albania,1977,69.121
Andorra,1977,
Austria,1977,71.9146341463415
Belgium,1977,72.7739024390244
Bulgaria,1977,70.8160975609756
Bosnia and Herzegovina,1977,70.041
Belarus,1977,70.2890243902439
Switzerland,1977,75.2380487804878
Czechia,1977,70.5734146341463
Germany,1977,72.3073170731707
